,Month,Pending,Clear,Reject,Total,Ave. Waiting Days for Complete Cases
0,2019-02,40,8,0,48,1
1,2019-01,232,170,3,405,25
2,2018-12,185,599,0,784,30
3,2018-11,105,330,0,435,32
4,2018-10,93,290,1,384,35
5,2018-09,60,277,2,339,36
6,2018-08,133,338,7,478,30
7,2018-07,137,370,7,514,28
8,2018-06,128,406,3,537,31
9,2018-05,144,584,1,729,38
10,2018-04,57,249,2,308,32
11,2018-03,39,193,0,232,28
12,2018-02,34,171,0,205,29
13,2018-01,34,178,1,213,27
14,2017-12,91,390,1,482,27
15,2017-11,39,174,0,213,25
16,2017-10,33,159,0,192,26
17,2017-09,34,148,1,183,27
18,2017-08,60,231,1,292,29
19,2017-07,90,322,0,412,33
20,2017-06,85,338,0,423,36
21,2017-05,69,320,0,389,31
22,2017-04,43,174,1,218,30
23,2017-03,31,124,0,155,31
24,2017-02,29,119,0,148,24
25,2017-01,54,192,0,246,28
26,2016-12,81,472,0,553,34
27,2016-11,51,211,1,263,32
28,2016-10,19,142,0,161,32
29,2016-09,29,161,1,191,31
30,2016-08,38,182,0,220,28
31,2016-07,44,177,1,222,27
32,2016-06,56,205,0,261,26
33,2016-05,34,193,0,227,33
34,2016-04,18,100,1,119,24
35,2016-03,15,89,1,105,25
36,2016-02,28,130,0,158,27
37,2016-01,29,121,0,150,25
38,2015-12,52,282,0,334,24
39,2015-11,33,137,0,170,28
40,2015-10,28,98,0,126,26
41,2015-09,39,96,1,136,33
42,2015-08,26,156,2,184,25
43,2015-07,83,281,1,365,28
44,2015-06,104,324,1,429,40
45,2015-05,79,326,1,406,40
46,2015-04,36,154,1,191,32
47,2015-03,32,102,0,134,27
48,2015-02,27,109,0,136,26
49,2015-01,34,101,0,135,27
50,2014-12,94,443,0,537,30
51,2014-11,26,139,0,165,26
52,2014-10,36,146,3,185,31
53,2014-09,72,286,0,358,56
54,2014-08,49,210,3,262,61
55,2014-07,103,440,2,545,47
56,2014-06,75,328,2,405,37
57,2014-05,30,198,1,229,30
58,2014-04,20,72,3,95,24
59,2014-03,17,65,0,82,22
60,2014-02,13,50,1,64,29
61,2014-01,12,92,0,104,18
62,2013-12,33,186,0,219,20
63,2013-11,28,93,1,122,27
64,2013-10,19,111,0,130,31
65,2013-09,33,190,3,226,39
66,2013-08,42,220,2,264,37
67,2013-07,75,613,0,688,42
68,2013-06,94,1000,4,1098,54
69,2013-05,33,435,4,472,43
70,2013-04,15,111,2,128,38
71,2013-03,7,97,0,104,38
72,2013-02,14,98,0,112,32
73,2013-01,17,79,0,96,19
74,2012-12,14,169,2,185,23
75,2012-11,7,80,1,88,23
76,2012-10,15,61,1,77,24
77,2012-09,17,63,0,80,26
78,2012-08,18,92,0,110,24
79,2012-07,39,111,0,150,28
80,2012-06,60,225,0,285,30
81,2012-05,30,170,3,203,24
82,2012-04,14,60,0,74,27
83,2012-03,4,43,1,48,21
84,2012-02,4,27,0,31,20
85,2012-01,13,75,0,88,20
86,2011-12,10,158,2,170,23
87,2011-11,7,33,1,41,29
88,2011-10,8,42,1,51,22
89,2011-09,9,47,1,57,24
90,2011-08,25,131,0,156,22
91,2011-07,20,170,2,192,22
92,2011-06,49,319,0,368,27
93,2011-05,29,232,2,263,32
94,2011-04,9,56,1,66,21
95,2011-03,9,45,0,54,20
96,2011-02,10,65,0,75,26
97,2011-01,38,147,1,186,35
98,2010-12,39,364,0,403,36
99,2010-11,13,115,0,128,33
100,2010-10,11,75,1,87,36
101,2010-09,8,92,2,102,28
102,2010-08,24,186,1,211,31
103,2010-07,21,250,3,274,28
104,2010-06,16,402,2,420,36
105,2010-05,9,275,5,289,32
106,2010-04,5,77,2,84,26
107,2010-03,4,54,1,59,27
108,2010-02,0,57,2,59,33
109,2010-01,8,64,0,72,30
110,2009-12,9,168,3,180,29
111,2009-11,3,63,0,66,23
112,2009-10,2,62,0,64,21
113,2009-09,7,91,2,100,23
114,2009-08,6,126,4,136,36
115,2009-07,8,110,3,121,34
116,2009-06,6,216,0,222,29
117,2009-05,8,256,1,265,31
118,2009-04,7,110,0,117,40
119,2009-03,6,94,0,100,52
120,2009-02,5,72,0,77,69
121,2009-01,1,81,0,82,96
122,2008-12,6,175,0,181,97
