,ID,Visa Type,Visa Entry,US Consulate,Major,Status,Check Date,Complete Date,Waiting Day(s),Details
0,redoctober,F1,Renewal,Europe,EE,Clear,2014-08-01,2014-08-26,25,detail
1,G56545963,B1,New,ShenYang,N/A,Clear,2014-08-04,2014-10-28,85,detail
2,Ning,H1,Renewal,BeiJing,Bioinformatics,Clear,2014-08-04,2014-10-23,80,detail
3,AA004A9KZS,F1,New,BeiJing,CS,Pending,2014-08-04,0000-00-00,1654,detail
4,youn,L2,Renewal,BeiJing,nn,Clear,2014-08-04,2014-09-12,39,detail
5,zahng158312121,B1,New,GuangZhou,Pharmacology,Clear,2014-08-04,2014-10-21,78,detail
6,lwcce,H1,New,GuangZhou,CS/EE,Clear,2014-08-04,2014-10-21,78,detail
7,hansson.yin@uta,B1,New,BeiJing,polymer composite,Clear,2014-08-04,2014-10-07,64,detail
8,FY,B1,New,GuangZhou,molecular biology,Clear,2014-08-04,2014-08-20,16,detail
9,cry,B1,New,GuangZhou,N/A,Clear,2014-08-04,2014-08-18,14,detail
10,AA0046LZCO,F1,New,BeiJing,Naval Architecture & Mari,Clear,2014-08-04,2014-08-26,22,detail
11,EJ,F1,New,ShenYang,MSE,Pending,2014-08-04,0000-00-00,1654,detail
12,AA004L1,L1,New,BeiJing,CS,Clear,2014-08-04,2014-09-17,44,detail
13,baige,B1,New,GuangZhou,biology,Clear,2014-08-04,2014-10-23,80,detail
14,20140804,B2,New,ShenYang,Civil Engineering,Pending,2014-08-04,0000-00-00,1654,detail
15,AA00000000,F1,Renewal,ShangHai,CS,Clear,2014-08-04,2014-08-27,23,detail
16,Nordland,H1,Renewal,Europe,Mech Engr,Clear,2014-08-04,2014-10-23,80,detail
17,LXP,H1,Renewal,BeiJing,Material,Clear,2014-08-04,2014-10-21,78,detail
18,vov,F1,Renewal,ShangHai,"ECE, PHD",Pending,2014-08-04,0000-00-00,1654,detail
19,AA004AJIX2,J1,New,Europe,ME,Clear,2014-08-04,2014-08-29,25,detail
20,windforcezw,H1,New,BeiJing,Computer Science,Clear,2014-08-04,2014-10-21,78,detail
21,SSS,F1,New,BeiJing,N/A,Clear,2014-08-04,2014-08-07,3,detail
22,DY,F1,New,BeiJing,MSE,Pending,2014-08-04,0000-00-00,1654,detail
23,zzly,B2,New,ShangHai,EE,Clear,2014-08-04,2014-10-24,81,detail
24,TingBOS,F1,Renewal,BeiJing,ECE,Clear,2014-08-04,2014-08-26,22,detail
25,aeyarr,H1,New,Chennai,Masters in Computational,Pending,2014-08-05,0000-00-00,1653,detail
26,AA004ANF70,J1,New,ShenYang,MICROBIOLOGY,Clear,2014-08-05,2014-11-07,94,detail
27,MSEsun,F1,Renewal,BeiJing,MSE,Clear,2014-08-05,2014-11-07,94,detail
28,phani43,H1,New,Europe,EE,Pending,2014-08-05,0000-00-00,1653,detail
29,Sunshine,H1,New,BeiJing,Microbiology,Pending,2014-08-05,0000-00-00,1653,detail
30,Askiry,B1,New,BeiJing,Signal Processing,Clear,2014-08-05,2014-10-24,80,detail
31,aa004aai96,B1,New,ShangHai,EE,Reject,2014-08-05,2014-09-10,36,detail
32,95487758,B1,New,BeiJing,Biology,Clear,2014-08-05,2014-10-23,79,detail
33,jiangxi,H1,New,BeiJing,N/A,Pending,2014-08-05,0000-00-00,1653,detail
34,jorkowa,F1,Renewal,ShangHai,Material Science Eng,Clear,2014-08-05,2014-08-27,22,detail
35,hwp,J1,New,BeiJing,ME,Clear,2014-08-05,2014-08-21,16,detail
36,Q,F1,New,BeiJing,cs,Pending,2014-08-05,0000-00-00,1653,detail
