,ID,Visa Type,Visa Entry,US Consulate,Major,Status,Check Date,Complete Date,Waiting Day(s),Details
0,AA0080F7JU,J1,New,ShenYang,ME,Clear,2018-06-28,2018-11-30,155,detail
1,opausnews,L1,New,ShangHai,EE,Clear,2018-11-01,2018-11-30,29,detail
2,zheng671,H1,New,ShenYang,CS,Clear,2018-11-07,2018-11-30,23,detail
3,Wyd,H1,Renewal,ShangHai,Finance,Clear,2018-11-20,2018-11-30,10,detail
4,shitouji,F1,New,ShangHai,Environmental Engineering,Clear,2018-11-01,2018-11-30,29,detail
5,EA3850Hebei,H1,Renewal,BeiJing,EE,Clear,2018-11-08,2018-11-30,22,detail
6,Alex,H1,New,BeiJing,ECE,Clear,2018-11-09,2018-11-30,21,detail
7,Heartache,H1,New,ShangHai,Physics,Clear,2018-10-31,2018-12-03,33,detail
8,ck,J1,New,ShangHai,Nuclear Engineering,Clear,2018-11-05,2018-12-03,28,detail
9,moonsky219,F1,Renewal,ShangHai,Computer Science,Clear,2018-11-05,2018-12-03,28,detail
10,Mereyct,F1,New,ShangHai,CS,Clear,2018-11-05,2018-12-03,28,detail
11,Lan12345,J1,New,ShenYang,Radiology and neurology,Clear,2018-11-06,2018-12-03,27,detail
12,visa_seeker,H1,New,Europe,Physics,Clear,2018-09-17,2018-12-03,77,detail
13,yomo@sei.ecnu.e,J1,Renewal,ShangHai,Bioinformatics,Clear,2018-11-08,2018-12-03,25,detail
14,ç¥�å¤§å®¶ç­¾è¯�,J1,New,ShangHai,Biomedical,Clear,2018-11-05,2018-12-03,28,detail
15,smoring,B2,New,ChengDu,EE,Clear,2018-11-05,2018-12-03,28,detail
16,laoliutou,B2,New,BeiJing,Geological Sciences,Clear,2018-10-29,2018-12-04,36,detail
17,dearsanta,O1,New,ShenYang,N/A,Clear,2018-11-30,2018-12-04,4,detail
18,wheresmyvisa,H1,New,ChengDu,Applied Math,Clear,2018-10-30,2018-12-04,35,detail
19,cnforChina,J1,New,BeiJing,Particle Physics,Clear,2018-10-25,2018-12-05,41,detail
20,seasail,L1,Renewal,ShangHai,Computer Science,Clear,2018-10-15,2018-12-05,51,detail
21,E78932882,B2,New,BeiJing,N/A,Clear,2018-11-05,2018-12-06,31,detail
22,ä¿�ä½‘ç­¾è¯�,H1,Renewal,BeiJing,EE,Clear,2018-10-22,2018-12-06,45,detail
23,lrt_pass,J1,New,BeiJing,Computational Mathematics,Clear,2018-11-02,2018-12-06,34,detail
24,Lucky,H4,New,BeiJing,N/A,Clear,2018-11-13,2018-12-06,23,detail
25,ClearSoon,H1,New,BeiJing,EE,Clear,2018-11-06,2018-12-06,30,detail
26,Clear,H1,Renewal,GuangZhou,N/A,Clear,2018-11-27,2018-12-06,9,detail
27,Katä¸€å®šèƒ½å°½,B1,New,BeiJing,Journalism,Clear,2018-11-23,2018-12-06,13,detail
28,summer,H1,New,ShenYang,Marketing,Clear,2018-12-03,2018-12-06,3,detail
29,é”¦é²¤æ±‚è¿‡,J1,New,BeiJing,CS,Clear,2018-10-12,2018-12-06,55,detail
30,20181024,L1,Renewal,BeiJing,N/A,Clear,2018-10-24,2018-12-06,43,detail
31,mmodyy,B1,New,BeiJing,Theoretical Physics,Clear,2018-09-20,2018-12-07,78,detail
32,Skenetulip,L1,Renewal,BeiJing,CS,Clear,2018-09-05,2018-12-07,93,detail
33,Beeeeam,J1,New,BeiJing,Physics,Clear,2018-10-23,2018-12-07,45,detail
34,Beeeeam,J1,New,BeiJing,N/A,Clear,2018-10-23,2018-12-07,45,detail
35,Count4Clear,H1,New,BeiJing,CS,Clear,2018-11-06,2018-12-07,31,detail
36,aiyo462,F1,New,ShangHai,Electrical Engineering,Clear,2018-11-06,2018-12-07,31,detail
37,AA008F3JJS,J1,New,BeiJing,SOCIAL MEDICINE,Clear,2018-11-05,2018-12-07,32,detail
38,AA***QQ,H1,Renewal,BeiJing,Biotechnology,Clear,2018-10-15,2018-12-07,53,detail
39,Alice,H1,New,BeiJing,EE,Clear,2018-11-05,2018-12-07,32,detail
40,peanut,H1,New,BeiJing,EE,Clear,2018-11-06,2018-12-07,31,detail
41,cuiw05,H1,Renewal,BeiJing,HCI,Clear,2018-11-13,2018-12-07,24,detail
